GeoFips,GeoName,2018,2019,2020
36140,"Ocean City, NJ (Metropolitan Statistical Area)",5652959,5859643,5624958
36220,"Odessa, TX (Metropolitan Statistical Area)",12353703,12805007,10194042
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",29163155,30710271,31526651
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",81863326,81388426,74398350
36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",13936088,14565474,14635606
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",65768968,68413066,69122853
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",141109938,150157631,144096225
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",10525196,10932180,10585424
36980,"Owensboro, KY (Metropolitan Statistical Area)",5810856,5859789,5700114
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",51511950,53914259,53218972
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",25820039,27363334,27692408
37460,"Panama City, FL (Metropolitan Statistical Area)",8664607,9011038,9090224
37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",3681827,3655593,3567244
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",20602272,21632001,21970338
37900,"Peoria, IL (Metropolitan Statistical Area)",22943235,22575616,21644103
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",435423852,450742192,439055118
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",259286475,276914305,281004837
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",3470775,3504426,3435776
38300,"Pittsburgh, PA (Metropolitan Statistical Area)",154553043,160161803,153369717
38340,"Pittsfield, MA (Metropolitan Statistical Area)",7411883,7418395,7099411
38540,"Pocatello, ID (Metropolitan Statistical Area)",3256728,3402506,3489082
38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",32620478,34097680,34442672
38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",164119677,170986486,168380262
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",17701851,18414668,18657514
39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area)",33353619,35607314,35438566
39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",7454731,7688399,7804778
39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",85790104,89290045,87849701
39340,"Provo-Orem, UT (Metropolitan Statistical Area)",27750229,30812463,31872768
39380,"Pueblo, CO (Metropolitan Statistical Area)",6315851,6655712,6493531
39460,"Punta Gorda, FL (Metropolitan Statistical Area)",5540315,5918689,6072767
39540,"Racine, WI (Metropolitan Statistical Area)",8449537,8566653,8440613
39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)",91849000,96614386,95324468
39660,"Rapid City, SD (Metropolitan Statistical Area)",6436641,6719328,6859319
39740,"Reading, PA (Metropolitan Statistical Area)",20649724,21127438,20417217
39820,"Redding, CA (Metropolitan Statistical Area)",8163949,8808341,8698893
39900,"Reno, NV (Metropolitan Statistical Area)",29112257,30986178,31772424
40060,"Richmond, VA (Metropolitan Statistical Area) *",86980083,90771910,90519855
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",179056726,190584391,190300489
40220,"Roanoke, VA (Metropolitan Statistical Area) *",16516194,16697662,16596290
40340,"Rochester, MN (Metropolitan Statistical Area)",13858331,14288212,14190352
40380,"Rochester, NY (Metropolitan Statistical Area)",62272023,65333130,64369068
40420,"Rockford, IL (Metropolitan Statistical Area)",16568631,16792938,15686898
40580,"Rocky Mount, NC (Metropolitan Statistical Area)",6822232,6762339,6631218
40660,"Rome, GA (Metropolitan Statistical Area)",4188452,4226201,4094372
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",138347080,146369656,145411908
40980,"Saginaw, MI (Metropolitan Statistical Area)",8499098,8831299,8498872
41060,"St. Cloud, MN (Metropolitan Statistical Area)",10865013,11129860,11042489
41100,"St. George, UT (Metropolitan Statistical Area)",6600413,7049244,7295477
41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",6028957,6329000,6308754
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",170039450,175382470,171493444
41420,"Salem, OR (Metropolitan Statistical Area)",18225345,19129999,19246017
41500,"Salinas, CA (Metropolitan Statistical Area)",27129686,28505134,27120792
41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",21976529,23214822,22603911
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",96991761,103149655,103913007
41660,"San Angelo, TX (Metropolitan Statistical Area)",7062444,7448080,6867459
41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",126383780,132237441,132116439
41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",232579152,242950042,240411072
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",562046311,595294620,588335543
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",317764160,341535161,360511397
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",17605794,18143296,18010542
42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",14746118,16091572,15844973
42140,"Santa Fe, NM (Metropolitan Statistical Area)",7163466,7321953,6873908
42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",29114688,29893355,29697904
42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",30770916,31656194,31247324
42340,"Savannah, GA (Metropolitan Statistical Area)",21769457,22943785,21972301
42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",27445871,28492937,27401877
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",393634702,419475451,426939963
42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",6747852,7176706,7020432
42700,"Sebring-Avon Park, FL (Metropolitan Statistical Area)",2465287,2680899,2705451
43100,"Sheboygan, WI (Metropolitan Statistical Area)",7293276,7332051,7231951
43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",5130317,5273226,5354786
43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",21941891,21698724,19320925
43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",4651051,4855035,5224460
